"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000188176.12" 57.2297940290087 6.82297194126007 1.36540689375131 4.99702467629607 5.82216208030533e-07 0.00477431845990238
"ENSG00000166828.3" 69.781523440526 5.5103134170809 0.937325614613859 5.87876115959013 4.1334826823614e-09 6.77911827320681e-05
"ENSG00000109101.8" 32.6654581197561 5.40159267855304 1.33503867176132 4.04601963434267 5.20958654009106e-05 0.0993802674965072
"ENSG00000249346.7" 94.9295437589567 5.37408400850584 0.830838190949332 6.46826790950149 9.91326280804696e-11 3.25164933366748e-06
"ENSG00000256347.1" 64.8685966094857 5.17175632124207 0.953324878075241 5.42496733294512 5.79651401262967e-08 0.000633771520427553
"ENSG00000264010.1" 41.7939998524529 4.51473111636915 0.989302479177245 4.56354978522224 5.02958759072584e-06 0.0164975502563398
"ENSG00000272472.1" 57.1234769980747 3.74873094754546 0.927579913648207 4.04141022502477 5.31307211236213e-05 0.0993802674965072
"ENSG00000163485.17" 83.1679381945585 3.69079433285999 0.786309125991217 4.69382105696331 2.68148613519899e-06 0.0134316077593432
"ENSG00000171126.8" 89.8493447933565 3.47004323239532 0.744752024046783 4.65932702477266 3.17244854093985e-06 0.0134316077593432
"ENSG00000110799.14" 72.1704051649965 3.33439211702144 0.827956052525614 4.02725737296098 5.64312508400474e-05 0.0993802674965072
"ENSG00000165731.21" 1916.21212973546 3.17659852356014 0.682627686494889 4.65348620691189 3.26369444912592e-06 0.0134316077593432
"ENSG00000253125.1" 136.642461648083 3.13952673868391 0.729858501618093 4.30155534493822 1.69603398993249e-05 0.0427935468490582
"ENSG00000173706.14" 910.145352893062 3.00557347530763 0.64598248253409 4.6527166859343 3.27590201746122e-06 0.0134316077593432
"ENSG00000111907.21" 2390.48771160722 2.91317821755117 0.642395582614539 4.5348665158851 5.76399274152452e-06 0.017187702355886
"ENSG00000204792.2" 1007.36768338221 2.83703274940603 0.664080516731366 4.27212164478191 1.93621897908102e-05 0.0453642276663119
"ENSG00000185697.17" 885.803801178422 2.69233400427799 0.585808985072261 4.59592473465713 4.30834208145206e-06 0.0157019920681899
"ENSG00000182704.8" 1205.58520843248 2.48557387981747 0.596760830965003 4.16510895294204 3.11203910088491e-05 0.0680519963654174
"ENSG00000261578.1" 248.402790427646 2.44035444177685 0.606665219985823 4.02257185904588 5.75660828155738e-05 0.0993802674965072
"ENSG00000273686.4" 237.435202999788 -6.28614119562281 1.45498016496431 -4.3204308532804 1.55724848403253e-05 0.0425660896039591
